resume_text,jd_text,skill_score,exp_score,edu_score,semantic_score,relevance_score
"Senior frontend lead 8 years React, Next.js, design systems, Masters.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",1.0,1.0,1.0,0.90,5.0
"Frontend engineer 5 years React, TypeScript, UI architecture, Bachelor CS.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.9,1.0,1.0,0.85,4.8
"Full-stack developer 4 years React and Node, Bachelor CS.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.8,1.0,1.0,0.78,4.4
"Frontend engineer 3 years React, JavaScript, limited TypeScript, Bachelor.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.7,1.0,1.0,0.72,4.0
"Frontend developer 2 years React, JS, Bachelor CS.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.65,0.67,1.0,0.68,3.5
"React developer 3 years strong skills, no degree.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.8,1.0,0.0,0.75,3.9
"UX engineer 5 years UI systems, minimal React, Bachelor.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.35,1.0,1.0,0.50,2.9
"Backend engineer 6 years Java Spring, little frontend, Bachelor.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.2,1.0,1.0,0.35,2.4
"Data analyst 3 years SQL, Tableau, no frontend, no degree.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.15,1.0,0.0,0.30,2.0
"Junior frontend intern 1 year React basics, no degree.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.55,0.3,0.0,0.60,2.6
"Frontend contractor 6 years React, JS, UX collaboration, diploma.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.75,1.0,0.5,0.74,4.1
"React UI engineer 4 years component libraries, Bachelor.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.85,1.0,1.0,0.80,4.6
"Web developer 4 years HTML, CSS, jQuery, Bachelor.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.4,1.0,1.0,0.45,3.0
"Frontend tester 5 years UI testing, Selenium, Bachelor.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.25,1.0,1.0,0.40,2.7
"React specialist 7 years performance optimization, no degree.","React frontend role, 3+ years experience, strong React, TypeScript, JavaScript, UI patterns. Bachelor preferred.",0.95,1.0,0.0,0.88,4.7
